LapNumber,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,improve_LapTime,improve_Sector1Time,improve_Sector2Time,improve_Sector3Time,did_pit
7.0,-0.22257220914325782,-0.26503154114396027,,0.057095464673920605,1.0,1.0,7.0,1.0,1,1,0,0,1
8.0,0.4598425830412599,-0.8146061479332763,0.4766725294398358,-1.2226304676725794,1.0,0.0,1.0,0.0,0,0,1,0,0
9.0,0.8797901474625015,1.1511799455823541,-4.352772834621669,0.8446191153486899,1.0,0.0,2.0,0.0,0,0,0,1,0
10.0,-3.135958437315622,-3.3933793028677592,0.4327684806756403,-3.6344216478640607,1.0,0.0,3.0,0.0,1,1,1,1,0
11.0,0.8797901474625015,1.130042460705842,0.38886443191144476,0.7461786590143438,1.0,0.0,4.0,0.0,0,0,0,0,0
12.0,-0.9049870013277755,-0.47640638990908185,,-0.43510681699781023,1.0,0.0,5.0,0.0,1,1,1,1,1
13.0,-0.06509187248529219,-0.7511936933037399,-0.09408010449470572,-1.0503596690874737,1.0,0.0,6.0,1.0,0,0,0,1,0
14.0,0.4073491374886047,0.1577181563862828,-0.006272006966314712,0.3770269477605456,1.0,0.0,7.0,1.0,1,1,1,1,0
15.0,0.24986880083063906,0.17885564126279496,0.03763204179788079,0.45085729001130526,1.0,0.0,8.0,1.0,0,1,1,0,0
16.0,0.32860896915962184,0.4959179144104773,-0.006272006966314712,0.5246876322620649,1.0,0.0,9.0,1.0,1,0,1,1,0
17.0,0.35485569193594946,0.47478042953396515,0.03763204179788079,0.4754674040948918,1.0,0.0,10.0,1.0,0,0,0,0,0
18.0,0.3023622463832943,0.453642944657453,-0.05017605573051021,0.5246876322620649,1.0,0.0,11.0,1.0,1,0,1,1,0
19.0,0.32860896915962184,0.43250545978094085,-0.05017605573051021,0.3524168336769591,1.0,0.0,12.0,1.0,1,1,1,0,0
20.0,0.3023622463832943,0.47478042953396515,-0.006272006966314712,0.40163706184413217,1.0,0.0,13.0,1.0,1,1,1,1,0
21.0,,0.47478042953396515,0.1254401393262718,0.4754674040948918,1.0,0.0,14.0,1.0,1,1,1,1,0
22.0,0.38110241471227707,0.5804678539165259,0.2132482368546628,0.5246876322620649,1.0,0.0,15.0,1.0,0,0,0,0,0
23.0,0.4073491374886047,0.41136797490442867,,,1.0,0.0,16.0,1.0,0,0,1,1,1
24.0,0.6698163652518807,0.32681803539838006,0.0815360905620763,-0.8042585282516084,1.0,1.0,8.0,1.0,1,1,0,1,0
25.0,0.48608930581758747,0.5593303690400138,0.16934418809046728,0.4262471759277187,1.0,1.0,9.0,1.0,0,0,0,0,0
26.0,0.3023622463832943,-1.9348928463884205,,0.5739078604292379,1.0,1.0,10.0,1.0,0,0,0,0,1
1.0,0.44822385478164156,-0.36708288252325266,-1.2229371288986872,-0.8470059261898503,1.0,1.0,1.0,0.0,0,0,1,1,0
2.0,1.2699675885479846,1.4477088962433893,1.5992254762521048,1.4298331551436394,0.0,1.0,2.0,0.0,0,0,0,0,0
3.0,-1.547439498650906,-1.4559579497832378,,-0.8170475172249358,1.0,1.0,3.0,0.0,0,0,1,0,1
4.0,-0.8933985676940206,0.04124526769924174,1.0347929552219464,-0.6372970634354499,1.0,1.0,4.0,1.0,1,1,1,1,0
